id,title,tags,answer
79328514,how to get custom column in the models forward function when training with huggingface trainer,pytorch nlp largelanguagemodel huggingfacetrainer,you need to modify the data collator to pass interactids and candidateids to your model as trainer ignores extra columns by default to modify the data collator class customdatacollatordatacollatorwithpadding def callself features batch supercallfeatures batchinteractids torchtensorfinteractids for f in features batchcandidateids torchtensorfcandidateids for f in features return batch then pass it to trainer trainer trainer modelllmwithcustomlayerfrompretrainedyourllamamodel argstrainingargs traindatasettraindataset evaldatasetevaldataset tokenizertokenizer datacollatorcustomdatacollatortokenizer now your forward method will receive interactids and candidateids hope it will work
78985137,alternative to devicemap auto in huggingface pretrained,machinelearning deeplearning nlp huggingfacetransformers,i found out that there are actually several methods in accelerate for this the first one is used to analyze your model and calculate the total amount of available memory that will be occupied by the model the second one is used to match your model with the devices so basically in your case you can use the following code ps this code still needs to be tested on finetuning
78966943,how are the weights of the mistral models reinitialized in huggingface,nlp huggingfacetransformers largelanguagemodel mistralb,mistralconfig has a default parameter initializerrange which is set to and described as the standard deviation of the truncatednormalinitializer for initializing all weight matrices so one can assume they use a truncated normal distribution with a standard deviation of if you plot the actual model weights distribution and what a truncated normal distribution with standard deviation of looks like it seems like a fit to me
78949607,trainer huggingface runtimeerror cannot pin torchcudafloattensor only dense cpu tensors can be pinned,nlp huggingfacetransformers,since pinning memory is only available on cpu and not gpu when running on gpu on colab you can just disable it by setting dataloaderpinmemory to false for trainingarguments trainingargs trainingarguments outputdirloracroissantllm dataloaderpinmemoryfalse perdevicetrainbatchsize numtrainepochs savesteps savetotallimit loggingdirlogs loggingsteps
78920095,cannot import name splittorchstatedictintoshards from huggingfacehub,python nlp huggingfacetransformers transformermodel llama,the error youre encountering is due to the splittorchstatedictintoshards function not being available in huggingfacehub version this function is included starting from version to resolve this issue update the huggingfacehub library to version or later also please install accelerate here is a git link
78823069,huggingface llm evaluate runtimeerror isintensortensorout only works on floating types on mps for pre macos received dtype long,pytorch nlp applem huggingface huggingfaceevaluate,i ran into a similar issue trying to run facebooks nougat ocr tool the error message mentions macos sonoma and i was on macos ventura upgrading to macos fixed the issue for me
78685093,alternative to receptive field in transformers and what factors impact it,nlp huggingfacetransformers receptivefield,how do you understand whether one architecture is more optimal to use versus another having a set of text documents with unique properties for modern transformerbased language models lms there are some empirical scaling laws such as the chinchilla scaling laws wikipedia that essentially say that larger deeper models with more layers ie with more parameters tend to perform better so far most lms seem to roughly follow chinchilla scaling there is another kind of scaling which is closer to a receptive field that i talk about below do you guys have something similar in nlp kind of transformerbased lms can be thought to have a receptive field similar to cnn layers as the attention mechanism in the transformer operates on a predefined context window or context length which is the maximum number of tokens the layer can look at attend to at any given time similar to a cnn kernel however with the introduction of new positional encoding pe approaches such as rotary positional encoding rope and modified attention architectures like sliding window attention swa this is not strictly accurate scaling in terms of context length is of much interest but usually it is very difficult to scale transformers this way because of attention being a mathcalon on operation so usually researchers go towards deeper architectures with more parameters overparameterization that can allow the model to memorize as much of the large training corpus as it can overfitting so that it can perform reasonably well when finetuned for most downstream tasks that have at least some representative examples in the training corpus
78639577,understanding the results of transformers learn in context with gradient descent,machinelearning nlp largelanguagemodel transformermodel metalearning,what data are you using in your replication as far as i can tell this paper does not mention explicitly the parameters of the data used for the particular result you are trying to replicate indeed it tests a variety of alpha values for the distributions used in figure it is feasible for the loss to be low even after one step of gd if the alpha value is low if you find the same trends in relative behavior of gd and transformer layers i dont think its important to match the exact loss values
78612251,how do we addmodify the normalizer in a pretrained huggingface tokenizer,python nlp largelanguagemodel huggingfacetokenizers,this looks like a bug the v tokenizer has a normalizer by default which can be seen by looking at the mistralvtokenizerjson file after modifying the backendtokenizernormalizer object the modification are saved to the tokenizerjson file in the v version the mistralvtokenizerjson file has no value for the normalizer modifying the normalizer and saving the model does write the changes to the json file but it is not getting picked up on reload using autotokenizerfrompretrained i am not sure why but it is entirely possible the tokenizermodel file indicates no normalizer is the default and it simply does not load it however you can get the tokenizer to load correctly with the custom normalizer by instantiating the matched tokenizer class explicitly and passing in the tokenizermodel and tokenizerjson paths along with the values from the tokenizerconfigjson file in this case it is the llamatokenizerfast class from transformers import autotokenizer llamatokenizerfast addedtoken from tokenizersnormalizers import sequence replace prepend load modify and save tok autotokenizerfrompretrainedmistralaimistralbv tokbackendtokenizernormalizer sequence prepend replace replacefoo bar replace n toksavepretrainedmistralbvcustom read in config construct the addedtoken objects with openmistralbvcustomtokenizerconfigjson as fp config jsonloadfp configaddedtokensdecoder intk addedtokenv for k v in configpopaddedtokensdecoderitems load from saved files tokcustom llamatokenizerfast mistralbvcustomtokenizermodel mistralbvcustomtokenizerjson config teststr i foo youhello world print jointokcustombatchdecodetokcustomteststrinputids prints i bar you hello world if you dont want to specify the tokenizer class explicitly you can load the model the the autotokenizer and then load it again using from the resulting class it is a hacky workaround
78586621,huggingface pipeline debug prompt,python nlp huggingfacetransformers,you may use preprocess method and check generated tokenids generally would suggest to more closely look on the code of the method it will explain what is happening with the prompt before model forward pass internally preprocess is calling either for chats tokenizerchattemplate for simple text prompts tokenizerprompttext for example for gpt model default tokenizer outputs tokenids and masks another thing to consider during prompts debug is to look what will happen if youll invert token ids
78485347,encode a list of sentences into embeddings using a huggingface model not in its hub,nlp huggingfacetransformers encode embedding huggingface,the code you provided only uses the tokenizer of the model which maps the text to integer ids that dont represent any kind of semantical meaning to retrieve sentence embeddings ie a vector that represents the text from facebookmmm which is an encoderdecoder model you need to perform some kind of pooling over the lasthiddenstate of the encoder common approaches which are cls and mean pooling are shown in the example below import torch from transformers import mmtokenizer mmmodel def meanpoolinglasthiddenstate attentionmask nonpadtokens attentionmasksum sumembeddings torchsumattentionmaskunsqueeze lasthiddenstate return sumembeddingsnonpadtokensunsqueeze def clspoolinglasthiddenstate return lasthiddenstate dat meteorite fell on the road i went in the wrong direction modelid facebookmmm tmm mmtokenizerfrompretrainedmodelid tmmsrclang en mmm mmmodelfrompretrainedmodelid tokenized tmmdat paddingtrue returntensorspt with torchinferencemode encodero mmmencodertokenized encoderlasthiddenstate encoderolasthiddenstate printencoderlasthiddenstateshape meanpoolingembeddings meanpoolingencoderlasthiddenstate tokenizedattentionmask printmeanpoolingembeddingsshape clspoolingembeddings clspoolingencoderlasthiddenstate printclspoolingembeddingsshape output which of the two approaches works better for your downstream task must be tested with your data please also note that even when you have the sentence embeddings now it doesnt mean they are semantically meaningful ie the embeddings are useless for your downstream task refer to this stackoverflow answer for further explanation
78294720,error when calling hugging face loaddatasetglue mrpc,python nlp huggingface huggingfacedatasets,i tried on my pc and on google colab the strange thing is that on colab it works on my pc it does not anyway a possible workaround is the following if you print it you will see that the dataset is the same it just has a different name
78219076,how to remove layers in huggingfaces transformers gpt pretrained models,python machinelearning deeplearning nlp transformermodel,try these parameters to bypass the embedding layer for the input embeddings you can use the following load the config of gpt send it to the class and then use the inputsembeds for the new model
77903080,finding embedding dimentions of the huggingface model,nlp huggingfacetransformers llamaindex faiss,the dimension for bgesmallenv is you can find it on the model page you will find a table with dimension sequence length and scores also when loading a model via transformersautomodel you can more details on the loaded model using modeleval likes input dimensions layers output etc
77839628,loading encorewebsm results in attributeerror module transformers has no attribute berttokenizerfast,python pip nlp anaconda spacy,i think that there is older version of the transformers in your global environment that cause the problem to avoid version conflict create a new virtual environment using conda activate myenv install scipy check the instalation page download encorewebsm now you can run your code
77676747,google colab unable to hugging face model,python nlp googlecolaboratory huggingfacetransformers bertlanguagemodel,here is how you can do it this pipeline creation part is going to show a warning ie you can just ignore it the pipeline will still work here is an example
77673353,how to use adapter transformers with a huggingface pipeline,python machinelearning nlp huggingfacetransformers,the old legacy package is pip install u adaptertransformers create the model outside of the pipeline
77594086,how to run a nlptransformers llm on low memory gpus,python nlp gpu huggingfacetransformers huggingfacetokenizers,i would recommend looking into model quantization as this is one of the approaches which specifically addresses this type of problem of loading a large model for inference thebloke has provided a quantized version of this model which is available here neuralchatbvawq to use this youll need to use autoawq and as per hugging face in this notebook for colab you need to install an earlier version given colabs cuda version you should also make sure your model is using gpu not cpu by adding cuda to the input tensor after it is generated pip install q transformers accelerate pip install q u import torch from awq import autoawqforcausallm from transformers import autotokenizer modelname theblokeneuralchatbvawq use autoawq and from quantized instead of transformers here model autoawqforcausallmfromquantizedmodelname tokenizer autotokenizerfrompretrainedmodelname def generateresponsesysteminput userinput format the input using the provided template prompt f systemnsysteminputn usernuserinputn assistantn add cuda inputs tokenizerencodeprompt returntensorspt addspecialtokensfalsecuda generate a response outputs modelgenerateinputs maxlength numreturnsequences response tokenizerdecodeoutputs skipspecialtokenstrue extract only the assistants response return responsesplit assistantn
77540677,clearing context window of llm in huggingface,nlp huggingfacetransformers transformermodel huggingface largelanguagemodel,llms generally dont store your prompts or context or directly learn from it after training llms stay static and the models weights dont change during inference if you want to build a chatbot you have to actively build something to keep the context one solution for handling context is langchain but for your case you just need to prompt to the llm or the api to the llm directly
