id,title,tags,answer
77107744,use nlp nltk to identify groups of phrases in a python dataframe,python pandas machinelearning nlp nltk,i would offer that what you are trying to do here is not necessarily an nlp problem but a much more general frequent pattern mining problem which is typically seen in recommendation you can find the most frequent diagnosis combinations of any size by using the fpgrowth algorithm in the mlxtend library and looking at the support for each symptom or combinations thereof the resultant table is a list of tuples with the support the percentage of transactions here patients for which the combinations occur
77061226,faster way unique words frequency in nltk,python nlp nltk,yes there is a faster way if you clean up your code a bit youll find it to be faster def countwordswithoutpunctuationandverbstext note how you call the above function later via for loop the call to countwordswithoutpunctuationandverbs in each iteration means that you are redundantly tokenizingtagging the entire dataframe every iteration which is obviously super inefficient return lenfilteredwords this is also redundant countvectorizer can produce this number as you use it to obtain your filtered words minisidebar remember that you dont always need to use nltk for example isdigit is generally faster than nltks cd for cardinal numbers
76310175,nltk text classifier thinks of any text as negative,python nlp classification nltk textclassification,tldr the way you try to test your algorithm does not reflect the way it was trained when you enter a text similar to a review that your nltk dataset provides you get positive predictions your naive bayes classifier not only calculates its probabilities based on words which appear in the input text but also words which do not appear there are about of these conditions thus when you enter one word in your classifier you stack that one word against missing words given the results you get these negative occurances predominantly assign a given text to the negative category note that your algorithm has been trained on documents which contain on average words therefore to get useful predictions out of your classifier you also need to provide a document which is similar to the data it was trained on
75272415,nltkdownloadpunkt giving output as false,python machinelearning nlp datascience nltk,try to launch the jupyter notebooks session as administrator open the command or anaconda prompt as administrator the last option would be to download the corpus manually you may find this helpful in your case
74804449,splitting sentences from a txt file to csv using nltk,csv nlp nltk txt sentence,reading a txt file tokenizing its sentences assuming the txt file is located in the same folder as your python script you can read a txt file and tokenize the sentences using nltk as shown below from nltk import senttokenize with openmyfiletxt as file textfile fileread tokentextlist senttokenizetextfile printtokentextlist output here is my first sentence and thats a second one writing a list of sentence tokens to csv file there are a number of options for writing a csv file pick whichever is more convenient eg if you already have pandas loaded use the pandas option to write a csv file using the pandas module import pandas as pd df pddataframetokentextlist dftocsvmycsvfilecsv indexfalse headerfalse to write a csv file using the numpy module import numpy as np npsavetxtmycsvfilecsv tokentextlist delimiter fmts to write a csv file using the csv module import csv with openmycsvfilecsv w newline as file write csvwriterfile lineterminatorn writewriterowstokentextlist writewriterowstoken for token in tokentextlist for pandas style output
74248881,how to extract phrases from text using specific nounverbnoun nltk pos tag patterns,nlp nltk postagger,here is a solution which utilises nltkregexparser with a custom grammar rule to match occurrences of any numbers of nouns followed by a verb followed by a noun specifically which is equivalent to example parsing prodikos socrates recommended plato and plato recommended aristotle produces the following labelled parse tree output note the above rule does not handle symbols and punctuation interrupting the first sequence nouns eg prodikos socrates recommended plato will only match socrates recommended plato there is likely a way to handle this case using some regexp pattern and the nltk pos tags but it is not immediately obvious to me solution from nltk import wordtokenize postag regexpparser text for testing text prodikos socrates recommended plato and plato recommended aristotle tokenized wordtokenizetext tokenize text tagged postagtokenized tag tokenized text with pos tags printtagged output prodikos nnp socrates nnp recommended vbd plato nnp and cc plato nnp recommended vbd aristotle nnp create custom grammar rule to label occurrences of any number of nouns followed by a verb followed by a noun mygrammar r nounsverbnoun function to create parse tree using custom grammar rules and pos tagged text def getparsetreegrammar postaggedtext cp regexpparsergrammar parsetree cpparsepostaggedtext parsetreedraw visualise parse tree return parsetree function to get labels from custom grammar takes line separated nltk regexp grammar rules def getlabelsfromgrammargrammar labels for line in grammarsplitlines labelsappendlinesplit return labels function takes parse tree list of nltk custom grammar labels as input returns phrases which match def getphrasesusingcustomlabelsparsetree customlabelstoget matchingphrases for node in parsetreesubtreesfilterlambda x anyxlabel customl for customl in customlabelstoget get phrases only drop pos tags matchingphrasesappendleaf for leaf in nodeleaves return matchingphrases textparsetree getparsetreemygrammar tagged mylabels getlabelsfromgrammarmygrammar phrases getphrasesusingcustomlabelstextparsetree mylabels for phrase in phrases printphrase output prodikos socrates recommended plato plato recommended aristotle
74196558,how do i retrieve phrases from a nltktree using custom node labels,python nlp nltk partofspeech parsetree,ive created a getphrasesusingtenselabel function which takes the parse tree returned from your checkgrammar function ive renamed it to getparsetree as this is more meaningful in terms of what the function is doing and a list of tense labels based on your grammar the tense labels are retrieved using the getlabelsfromgrammar function i created which iterates over the lines in your grammar and splits the string at the retrieving the tense label the function then returns the list of phrases along with their tags for those nodes in the nltk tree which match any of your tenselabels eg presentindefinite and presentperfect in the solution below ive used a smaller text as input as an example solution from nltk import wordtokenize postag import nltk text novavax produces nuvaxovid vaccine will that provide a new rally we see biotechnology stock nvax entering the buying area smaller text for testing textsmall we see a surge in sales it has been a great year tokenized wordtokenizetextsmall tokenize text tagged postagtokenized tag tokenized text with pos tags mygrammar r futureperfectcontinuous futurecontinuous futureperfect pastperfectcontinuous presentperfectcontinuous futureindefinite pastcontinuous pastperfect presentcontinuous presentperfect pastindefinite presentindefinite def getparsetreegrammar postaggedtext cp nltkregexpparsergrammar parsetree cpparsepostaggedtext parsetreedraw visualise parse tree return parsetree function to get labels from grammar takes line separated nltk regexp grammar rules def getlabelsfromgrammargrammar labels for line in grammarsplitlines labelsappendlinesplit return labels function takes parse tree list of nltk custom grammar labels as input returns phrases which match def getphrasesusingtenselabelsparsetree tenselabelstoget matchingphrases for node in parsetreesubtreesfilterlambda x anyxlabel tenselab for tenselab in tenselabelstoget matchingphrasesappendnodeleaves return matchingphrases function takes parse tree list of nltk custom grammar labels as input returns the tense labels present in the parse tree def gettenselabelsintreeparsetree tenselabelstoget matchinglabels for node in parsetreesubtreesfilterlambda x anyxlabel tenselab for tenselab in tenselabelstoget matchinglabelsappendnodelabel return matchinglabels textparsetree getparsetreemygrammar tagged printtextparsetree view parse tree output tenselabels getlabelsfromgrammarmygrammar phrases getphrasesusingtenselabelstextparsetree tenselabels labels gettenselabelsintreetextparsetree tenselabels printphrases output see vbp has vbz printphrase for phrase in phrases output see has printlabels presentperfect presentindefinite
74157026,how to access nltk in pycharm,nlp nltk,in the nltk window navigate to the corpora tab and check that brown has been installed it should be highlighted green with status set to installed see next check that you can find the unzipped brown folder in cusersuserappdataroamingnltkdata finally assuming everything is present and working ie youre not receiving any errors when running the code you will not be seeing any output in pycharm without calling print instead try this
74125171,why does extracting words using nltk truncate the last s on some ocassions,python pythonx text nlp nltk,this is because you are using the lemmatize method from the wordnetlemmatizer class although the class is called a lemmatizer it uses a special morphy method that actually stems the words instead of lemmatizing them while i dont know what language model youre using my guess is that the wordnetlemmatizer classifies the words with an s at the end as some sort of plural morpheme which ultimately results in a cutoff for more information about the inner workings see the documentation for the wordnetlemmatizer as well as the morphy method of nltk if you do not need the token lemmatization you can omit the process otherwise you could consider using spacy you would need to download a language model of your choice and lemmatize your words using something like this hope this helps
73860804,why does my nltk for loop repeat results instead of moving to the next sentence,python function nlp nltk nestedforloop,apply runs function on every row separatelly and it gives you this row in tagset and you should work with this tagset but you run forloop with dfcleandescr inside this function so you work with all dataframe in every execution and this makes no sense frankly it should rather have name sentence or sent instead of tagset result
73409958,how can i save the result of nltkchunknechunk as a list,nlp nltk chunks,perhaps you are after this the recognizer returns a generator from which you could fetch output a little at a time great with a huge dataset or collect all the output by turning it into a list as above
72998532,struggling with removing stop words using nltk,nlp nltk,word for word in text iterates over characters of text not over words you should change your code as below
72782449,nltk stopwords attributeerror function object has no attribute words,python errorhandling nlp nltk stopwords,hello the problem is that youve named your function like the nltkcorpus module you should find an other name for your function and itll work i think
72099620,how to solve missing words in nltkcorpuswordswords,nlp nltk tokenize corpus,you can use wordsupdateclimatisation equipped here words is a set that is why extendwordlist did not work
71927697,removing nonenglish words from csv nltk,pandas nlp nltk,generally you should give an example of your dataset what is the previous content of the column tags how are tags separated how is no tags expressed and is there a difference between empty list and nan i assume tags can contain multiple words so that is important also when it comes to removing nonenglish words but for simplicity sake lets assume there are only onewordtags and they are separated by a whitespace so that each rows content is a string also lets assume that empty rows no tags have the default na value for pandas numpynan and since you probably read the file with pandas some values might have been autoconverted to numbers setup drop na rows and tokenize filter by known words always allow nonalpha the main problem in your code probably results from you doing a flat iteration over a nested list you already tokenized so now each row in the pandas series is a list if you modify the iteration to be nested as well as i did in the example the code should run also you should never do string conversion be it astypestr or any other way before removing nas because then nas will become something like nan and will not be removed first drop na to handle empty cells then convert to handle other stuff like numbers etc
71401293,getting word count in a sentence without punctuation marks nltk python,python nlp token nltk tokenize,you can use different tokenizer which can take care of your requirement
