id,title,tags,answer
79419884,underfitting pretrained glove lstm model accurcacy unchanged,keras deeplearning nlp lstm sentimentanalysis,based on extra information in the comments im going to say the reason the lstm model hits a wall at an unspecified lower accuracy than the you are trying to reach is because it is not the best type of model for the problem in which case tweaking parameters is likely to be wasted effort im fairly sure encoder transformers eg bert surpassed them in sentiment analysis benchmarks a number of years back but sorry a quick search couldnt find a killer reference to insert here and transformers have only got bigger and better since then extra thought building on top of glove embeddings presents you with the problem that they dont handle multiple meanings of the word so queen might be a female king as in embeddings party trick king male female queen or it might be a pop group or it might be a gay man or it might be a chess piece this is going to put a limit on the accuracy of models built on them whereas transformers dont have that limitation because they look at the whole string to see the words in context it is possible to argue with that of course because bringing in the context is where the lstm comes in but transformers are still scaling strongly with layers whereas lstms tend to choke after two layers
79247594,euclidian distance from word to sentence after doing vectorizer,pandas dataframe nlp textclassification tfidf,i am not convinced that the euclidean distance would be the optimal measure i would actually look at similarity scores which would give you that being said if you absolutely want to focus on euclidean distance here is a method which gives
79178041,normalization of token embeddings in bert encoder blocks,nlp normalization bertlanguagemodel attentionmodel,layer normalization is applied to each tokens embedding individually this means each token gets its own normalization based on its specific features this helps to ensure that the model can process each token effectively regardless of the other tokens in the sequence bert differs from the original transformer architecture in the placement of layer normalization in bert its applied before the selfattention mechanism while in the original transformer its applied after this subtle difference can have a significant impact on the models performance see here update please refer to the following paper on layer normalization in the transformer architecture the authors explored both approaches of applying layer normalization before and after attention layernamely preln and postln in bert their results indicate that using layer normalization before the attention layer yields better results for a summarized review of the same paper you can see here overall you might find different bert diagrams in which each used a different approach of using layer normalization
79145419,is it possible to get embeddings from nvembed using candle,machinelearning rust nlp,candle looking for modelembedtokensweight whereas the original tensor name is embeddingmodelembedtokensweight you just have to change this line of mistralrs in candletransformers from let vbm vbppmodel to let vbm vbppembeddingmodel
79102797,varying embedding dim due to changing padding in batch size,python text nlp padding datapreprocessing,you can add a maximum length argument set to embeddingdim to pad and truncate all the data to a fixed length
78901998,how does openaiembeddings work is it creating a single vector of size for whole text corpus,deeplearning nlp openaiapi openaiembeddings,everything you described is expected q is the dimensional vector generated for the entire input text a yes q if the dimensional vector represents the entire input text how does the model handle individual words versus longer texts like sentences or paragraphs a first the openai embeddings model doesnt handle a single word any different than a long text for the model its an input the input can be even a single character eg a but it doesnt make sense to calculate an embedding vector out of it since a doesnt semantically mean anything to us humans second what you probably meant with this question is what happens when you do a similarity search with these embeddings in other words what happens when you use them what happens if you use embeddings of words sentences paragraphs or the whole text does it matter yes this is called chunking the decision about how to chunk your text depends on the use case the best thing is probably to simply try and see if you get meaningful results after doing a similarity search then this means that chunking is appropriate even if this means chunking the whole text if you dont get meaningful results after doing a similarity search then this means that chunking isnt appropriate eg instead of chunking by paragraph try chunking by sentences theres an excellent stack overflow blog post about this topic you should read pay attention to the bolded text because this is the best explanation with rag you create text embeddings of the pieces of data that you want to draw from and retrieve that allows you to place a piece of the source text within the semantic space that llms use to create responses when it comes to rag systems youll need to pay special attention to how big the individual pieces of data are how you divide your data up is called chunking and its more complex than embedding whole documents the size of the chunked data is going to make a huge difference in what information comes up in a search when you embed a piece of data the whole thing is converted into a vector include too much in a chunk and the vector loses the ability to be specific to anything it discusses include too little and you lose the context of the data
78836208,removing bigrams after tokenization for tfidfvectorizer,python scikitlearn nlp preprocessor tfidfvectorizer,the preprocessor should handle documents not the whole corpus the clues are the expected string in the error and the fact that the tfidfvectorizer docs refer to the preprocessing string transformation stage the docs could definitely be clearer this should fix it
78485347,encode a list of sentences into embeddings using a huggingface model not in its hub,nlp huggingfacetransformers encode embedding huggingface,the code you provided only uses the tokenizer of the model which maps the text to integer ids that dont represent any kind of semantical meaning to retrieve sentence embeddings ie a vector that represents the text from facebookmmm which is an encoderdecoder model you need to perform some kind of pooling over the lasthiddenstate of the encoder common approaches which are cls and mean pooling are shown in the example below import torch from transformers import mmtokenizer mmmodel def meanpoolinglasthiddenstate attentionmask nonpadtokens attentionmasksum sumembeddings torchsumattentionmaskunsqueeze lasthiddenstate return sumembeddingsnonpadtokensunsqueeze def clspoolinglasthiddenstate return lasthiddenstate dat meteorite fell on the road i went in the wrong direction modelid facebookmmm tmm mmtokenizerfrompretrainedmodelid tmmsrclang en mmm mmmodelfrompretrainedmodelid tokenized tmmdat paddingtrue returntensorspt with torchinferencemode encodero mmmencodertokenized encoderlasthiddenstate encoderolasthiddenstate printencoderlasthiddenstateshape meanpoolingembeddings meanpoolingencoderlasthiddenstate tokenizedattentionmask printmeanpoolingembeddingsshape clspoolingembeddings clspoolingencoderlasthiddenstate printclspoolingembeddingsshape output which of the two approaches works better for your downstream task must be tested with your data please also note that even when you have the sentence embeddings now it doesnt mean they are semantically meaningful ie the embeddings are useless for your downstream task refer to this stackoverflow answer for further explanation
78443980,fasttext languageidentification in r returns too many arguments how to match to texts,r nlp fasttext languagedetection,the first argument to fasttextlanguageidentification is defined as either a valid character string to a valid path where each line represents a different text extract or a vector of text extracts emphasis mine you have line breaks in your input data dfspeechtext text in andifferent language as one prediction is generated per line youll get two predictions from this element you have two options remove new lines in your input data this makes sense in this case keep new lines and map document ids to each line this makes sense if new lines might actually be in different languages remove new lines if you replace new lines with spaces you will get the same number of predictions returned as input rows in the regex below i have used the pcre v which matches newlines and any character considered vertical whitespace this now produces five rows one relating to each input row languageidentificationgsubv dfspeechtext perl true fileftz isolang prob en en en en es v includes several vertical space characters such as form feed and line separator so should cover all possible types of new line for full details see the table here keep new lines and map document id to each line alternatively if different lines of each input document might be in different languages you may not want to remove new lines in this case you can predict each line separately and then map the document ids to each line as before lang languageidentificationdfspeechtext fileftz add document ids langdocid rep dfdocid lengthsstrsplitdfspeechtext v perl true lang isolang prob docid en en en en en es
78317989,is it possible to finetune a pretrained word embedding model like vecword,python nlp artificialintelligence wordvec wordembedding,as has been pointed out before there is no goto way for finetuning wordvec type models i would suggest training your own model from scratch combining your data with other available data from a similar domain wordvec models are fairly quick to train and this would probably give you the best results if you do not need static wordlevel embeddings i would recommend considering contextualized embeddings for example through the use of sentencetransformers or similar frameworks which has a wide selection of already pretrained models you can choose from you can finetune these types of models on your specific data rather easily and there are tons of resources online on how to do that for your use case you can embed all the documents into dense vector representations using the abovementioned library and then construct a searchable index over this semantic space in order to match queries all you have to do then is to embed the query using the same model and then retrieve the documents with the highest approximate inner product often referred to as a mips search an example library to take a look at would be faiss
78240828,is bertforsequenceclassification using the cls vector,nlp huggingfacetransformers bertlanguagemodel,would a sentence embedding be equivalent or even better than the cls token embedding a sentence embedding is everything that represents the input sequence as a numerical vector the question is whether this embedding is semantical meaningful eg can we use it with similarity metrics this is for example not the case for the pretrained bert weights released by google refer to this answer for more information is the cls token a sentence embedding yes is some kind of pooling a sentence embedding yes are they semantically meaningful with the bert weights release by google no shouldnt it be pooledoutput outputs no because when you check the code you will see that the first element of the tuple is the lasthiddenstate sequenceoutput encoderoutputs pooledoutput selfpoolersequenceoutput if selfpooler is not none else none if not returndict return sequenceoutput pooledoutput encoderoutputs i am confused as to whyhow masked language modeling would lead to the start token learning a sentence level representation because it is included in every training sequence and the cls absorbs the other tokens you can also see this in the attention mechanism compare revealing the dark secrets of bert paper as mentioned above the questions is if they are semantically meaningful without any further finetuning no compare this stackoverflow answer
78129126,typeerror exception encountered when calling layer embeddings type tfbertembeddings,tensorflow deeplearning nlp bertlanguagemodel transformermodel,it works with transformers
77906649,why token embedding different from the embedding by the bartforconditionalgeneration model,machinelearning pytorch nlp huggingfacetransformers bart,the first embeddings input position are the first layer of the model these embeddings are used to map tokens to vectors the second set of embeddings encoderlasthiddenstate are the outputs of the final layer in the models encoder these embeddings are supposed to be different
