id,title,tags,answer
78639577,understanding the results of transformers learn in context with gradient descent,machinelearning nlp largelanguagemodel transformermodel metalearning,what data are you using in your replication as far as i can tell this paper does not mention explicitly the parameters of the data used for the particular result you are trying to replicate indeed it tests a variety of alpha values for the distributions used in figure it is feasible for the loss to be low even after one step of gd if the alpha value is low if you find the same trends in relative behavior of gd and transformer layers i dont think its important to match the exact loss values
78284866,what is the best functionstage to use tokenizer in pytorchs data processing,pytorch nlp,neither you want to tokenize your entire dataset in batch prior to training tokenizing during training slows it down and is wasteful if youre doing multiple epochs you will tokenize the same items multiple times you should tokenize your entire dataset first then do batching and padding in your collate function it sounds like youre using huggingface tokenizers you should also use huggingface datasets and the collate functions they provide
78241665,how to detect if two sentences are simmilar not in meaning but in syllableswords,search nlp fulltextsearch similarity sentencesimilarity,one way to approach this although might not be the best way is to first vectorize the words in the two sentences ie essentially giving a number to each word which would give you a vector for each sentence then compare those two vectors for similarity codewise you can do the following in python from sklearnfeatureextractiontext import countvectorizer from sklearnmetricspairwise import cosinesimilarity def sentencesimilaritysentence sentence tokenize sentences into ngrams ngramrange range can be adjusted vectorizer countvectorizerngramrangengramrange vectors vectorizerfittransformsentence sentence checking for similarity using cosine similarity ie dot product similaritymatrix cosinesimilarityvectors similarityscore similaritymatrix return similarityscore please note that you need to have scikit learn installed in order to perform the above imports you can do that by executing the following command in cmd or terminal pip install scikitlearn
77935492,what is the trec spam track public corpora format,nlp spamprevention,disclaimer before reading the answer please note that since i had not participated in the trec task nor am i the data creatorprovider i can do only some educated guess to the questions you have on the dataset educated guessed answers first reading the task paper helps next the right download link for future readers would be and now some summary trec spam track dataset is a set of chronologically ordered email messages a spam filter for classification four different forms of user feedback are modeled with immediate feedback the gold standard for each message is communicated to the filter immediately following classification delayed feedback the gold standard is communicated to the filter sometime later or potentially never so as to model a user reading email from time to time and perhaps not diligently reporting the filters errors partial feedback the gold standard for only a subset of email recipients is transmitted to the filter so as to model the case of some users never reporting filter errors active online learning the filter is allowed to request immediate feedback for a certain quota of messages which is considerably smaller than the total number q how are the above forms of feedback represented by the files in the dataset a all the actual textual data are actually found in the trecdata files and for the rest of the directories they are just a indices pointing to the subsets to emulate the different forms of evaluations q what does full mean in this case is it just the labels trecpfullindex the index of email lists that points to all the data points in trecpdata q what is the delay for eg datadelay fulldelay trecpfulldelayindex the indices that points to the delayed feedback evaluation trecphamdelayindex the indices that points to only the nonspam labelled emails in the delayed feedback evaluation trecpspamdelayindex the indices that points to only the spam labelled emails in the delayed feedback evaluation so essentially all the unique list of trecphamdelayindex trecpspamdelayindex trecpfulldelayindex q why is the datadelay folder empty for this i dont have an answer got to ask the data providercreator q is there any special way to parse the contents in the data folder now thats the fun coding part lets step back a little and think what we have essentially a list of emails in trecdata the spamham labels of each email in trecfullindex the spamspamhamham labels of a subset of emails in trecfulldelayindex so q what is the difference between ham ham spam and spam labels in the trecpdelayindex if we look carefully at the if dataid in fulldelaylabels assert labellower fulldelaylabelsdataidlower line we see that all the caps and the noncaps labels are the same q so why is there a difference a not sure best to ask data providercreator q is there a difference between the labels from trecpfulldelayindex and trecpfullindex dont seem like theres any q how do i just read it into a pandas dataframe given what we know above q but the input columns are still binaries can i somehow guess the encoding not really its pretty hard messy to guess the encoding of a binary file but you can try this though not all file specify charset in the content
77828572,what is sent to the llm when using a chat model,nlp langchain,you can use format method to format the chat template into a string here is the updated code prompt templateformat namebob userinputwhat is your name prompt output
77116207,what is the correct approach to evaluate huggingface models on the masked language modeling task,machinelearning nlp huggingfacetransformers huggingface,as pointed out in the linked post this is a warning to indicate that those weights are not used this is raised since youre loading a model that has its pooler weights initialised bertbasecased but arent used by a maskedlm model the bertpooler weights are typically used for classification tasks such as bertforsequenceclassification for bertbasecased the model was also trained on the next sentence prediction nsp task so the pooler weights are also trained as pointed out in this github comment after passing a sentence through the model the representation corresponding to the first token in the output is used for finetuning on tasks like squad and glue so the pooler layer does precisely that applies a linear transformation over the representation of the first token the linear transformation is trained while using the next sentence prediction nsp strategy in fact whenever initialising the model with the next sentence prediction task the warning isnt raised from transformers import automodelformaskedlm automodelfornextsentenceprediction automodelforpretraining raises a warning automodelformaskedlmfrompretrainedbertbasecased doesnt raise a warning automodelfornextsentencepredictionfrompretrainedbertbasecased doesnt raise a warning initialised with both mlm nsp automodelforpretrainingfrompretrainedbertbasecased since youre interested in masked language modelling mlm you can disregard the warning since this isnt used for this task for the masked language modelling task you should initialise using automodelformaskedlm since this includes the appropriate head to predict the masked token this forum post has further details about the differences in initialisations
76738928,understanding lstm for speech recognition,python nlp lstm speechrecognition recurrentneuralnetwork,the lstm will simply have input neurons the inputs are represented by weights and biases to the lstmcell
75989822,what is stanford corenlps recipe for tokenization,python nlp stanfordnlp tokenize,so ive just done some more digging and i found that stanfordnlps tokenizer class ptbtokenizer was roughly inspired by the penn treebank see there is an nltk solution for that one and it roughly gives the same tokenization behavior as i was expecting
75943880,what is the most efficient way to identify text similarity between items in large lists of strings in python,python text nlp cosinesimilarity hammingdistance,the following solution is based on your original code hamming distance which offers an almost order of magnitude speedup averaged across five runs of each as measured by lineprofiler using this solution as a base for parallel processing may get you closer to the total processing times you are after to use lineprofiler pip install lineprofiler and then run kernprof l v testpy after adding profile and calling the function to be profiled from main from itertools import ziplongest from bisect import insort lemmas do done purpose can be use for cannon amuse useful user become downtown develop fulminate deduce de bezant forms done done doing purposeful canonical becareful being berate best bezant full fulmination predict downgrade down developing deduct deducing distances profile def profiledistancecalcs lemmaslow lemmalower for lemma in lemmas formslow formlower for form in forms for form in formslow formdistances for lemma in lemmaslow charmatches c c for c c in ziplongestlemma form dist sumcharmatcheslencharmatches if dist insortformdistances dist lemma distancesform formdistances with openpotentiallemmashammingtxt w as f for form formdistances in distancesitems for dist lemma in reversedformdistances fwritefform lemma distn if name main profiledistancecalcs from the time profile breakdown below total time s you can get an idea of where the slowdowns are coming from the main culprit is obviously the distance computation which is why i switched the textdistancehammingnormalizedsimilarity for a much more efficient barebones manual calculation of the same thing based on the textdistance hamming and hammingnormalizedsimilarity source code i also believe using bisectinsort and maintaining a sorted list while inserting is faster than inserting all elements and then running heapqnlargest line hits time per hit time line contents profile def profiledistancecalcs lemmaslow lemmalower for lemma in lemmas formslow formlower for form in forms for form in formslow formdistances for lemma in lemmaslow charmatches c c for c c in ziplongestlemma form dist sumcharmatcheslencharmatches if dist insortformdistances dist lemma distancesform formdistances with openpotentiallemmashammingtxt w as f for form formdistances in distancesitems for dist lemma in reversedformdistances fwritefform lemma distn original code speed profile here is your original code for comparison i modified some aspects of it the main difference is the use of heapqnlargest as i believe you were after the most similar lemmas for each form and not the least similar which heapqnsmallest provided from textdistance import hamming cosine jarowinkler import heapq lemmas do done purpose can be use for cannon amuse useful user become downtown develop fulminate deduce de bezant forms done done doing purposeful canonical becareful being berate best bezant full fulmination predict downgrade down developing deduct deducing distances processedpairs set keep track of processed pairs profile def profiledistancecalcs for lemma in lemmas if lemma is none continue lemmalower lemmalower for form in forms if form is none continue formlower formlower pair lemmalower formlower if pair not in processedpairs processedpairsaddpair dist hammingnormalizedsimilaritylemmalower formlower if dist distancessetdefaultformlower appenddist lemmalower find the closest pairs closestpairs for form distlemmas in distancesitems closestpairsform heapqnlargest distlemmas with openpotentiallemmasorigtxt w as f for form pairs in closestpairsitems for dist lemma in pairs fwritefform lemma distn if name main profiledistancecalcs time profile breakdown for the original code total time s line hits time per hit time line contents profile def profiledistancecalcs for lemma in lemmas if lemma is none continue lemmalower lemmalower for form in forms if form is none continue formlower formlower pair lemmalower formlower if pair not in processedpairs processedpairsaddpair dist hammingnormalizedsimilaritylemmalower formlower if dist distancessetdefaultformlower appenddist lemmalower find the closest pairs closestpairs for form distlemmas in distancesitems closestpairsform heapqnlargest distlemmas with openpotentiallemmasorigtxt w as f for form pairs in closestpairsitems for dist lemma in pairs fwritefform lemma distn measuring natural language similarity measuring the similarity between two pieces of natural language text is a nontrivial task attempting to gauge spellingmorphologicalsemantic similarity based purely on rudimentary characterbased metrics eg hamming distance levenshtein distance etc wont suffice as these metrics fail to capture complex linguistic patterns hence why neural network methods are commonly used to pick up these patterns in large bodies of text with that being said one can begin to add their own rules to calculate more accurate similarity scores for example the code below modifies the normalised hamming similarity computation to track how many consecutive characters match and then scales the similarity score accordingly there is obviously scope for finetuning andor increasing the complexitynumber of rules used but with more complexity comes slower processing times this custom function avoids the issue of results like beatte beats and beatus certus instead scoring them as beatte beats and beatus certus def customhammingnormsimstra strb scale maxstrlen maxlenstra lenstrb maxscoreperchar maxstrlen penalty score for c c in ziplongeststra strb if c c penalty penalty scale score maxscoreperchar penalty else p penalty scale if p maxscoreperchar penalty p score maxscoreperchar penalty return score profile def profiledistancecalcs lemmaslow lemmalower for lemma in lemmas formslow formlower for form in forms for form in formslow formdistances for lemma in lemmaslow dist customhammingnormsimlemma form if dist insortformdistances dist lemma distancesform formdistances with openpotentiallemmashammingtxt w as f for form formdistances in distancesitems for dist lemma in reversedformdistances fwritefform lemma distn if name main profiledistancecalcs
75890430,what is the classification head of a hugging face automodelfortokenclassification model,python pytorch nlp huggingfacetransformers textclassification,the automodel is not pytorch model implementation it is an implemented factory pattern that means it returns an instance of a different class depending on the provided parameters for example from transformers import automodelfortokenclassification m automodelfortokenclassificationfrompretrainedrobertabase printtypem output you can check the head either with the official documentation of the class or with parameters output
