id,title,tags,answer
79419884,underfitting pretrained glove lstm model accurcacy unchanged,keras deeplearning nlp lstm sentimentanalysis,based on extra information in the comments im going to say the reason the lstm model hits a wall at an unspecified lower accuracy than the you are trying to reach is because it is not the best type of model for the problem in which case tweaking parameters is likely to be wasted effort im fairly sure encoder transformers eg bert surpassed them in sentiment analysis benchmarks a number of years back but sorry a quick search couldnt find a killer reference to insert here and transformers have only got bigger and better since then extra thought building on top of glove embeddings presents you with the problem that they dont handle multiple meanings of the word so queen might be a female king as in embeddings party trick king male female queen or it might be a pop group or it might be a gay man or it might be a chess piece this is going to put a limit on the accuracy of models built on them whereas transformers dont have that limitation because they look at the whole string to see the words in context it is possible to argue with that of course because bringing in the context is where the lstm comes in but transformers are still scaling strongly with layers whereas lstms tend to choke after two layers
79298368,inspect all probabilities of bertopic model,python nlp topicmodeling,for individual topic probability across each document you need to add one more argument note this calculateprobabilities true will only work if you are using hdbscan clustering embedding model and bertopic by default uses allminilmlv official documentation they have mentioned the same in document as well
79192130,using an aws service to execute a python script that will extract keywords from text using keybert,python amazonwebservices awslambda nlp largelanguagemodel,in such cases i would normally think of two resources aligned with the best practices of aws and software engineering sagemaker or lambda if the model im using is resourceintensive and requires gpu acceleration id go with sagemaker otherwise lambda is a good solution so for your case heres what id do package your keybert script in a lambda and easily deploy it with a container invoke it whenever you need to process text blocks aws lambda charges you only for the execution time so its costefficient for occasional tasks
79178041,normalization of token embeddings in bert encoder blocks,nlp normalization bertlanguagemodel attentionmodel,layer normalization is applied to each tokens embedding individually this means each token gets its own normalization based on its specific features this helps to ensure that the model can process each token effectively regardless of the other tokens in the sequence bert differs from the original transformer architecture in the placement of layer normalization in bert its applied before the selfattention mechanism while in the original transformer its applied after this subtle difference can have a significant impact on the models performance see here update please refer to the following paper on layer normalization in the transformer architecture the authors explored both approaches of applying layer normalization before and after attention layernamely preln and postln in bert their results indicate that using layer normalization before the attention layer yields better results for a summarized review of the same paper you can see here overall you might find different bert diagrams in which each used a different approach of using layer normalization
79173053,how to convert character indices to bert token indices,python nlp dataset largelanguagemodel bertlanguagemodel,you should encode both the question and context locate the token span for the answer within the tokenized context and update the dataset with the tokenlevel indices the following function does the above for you heres how you can use and test this function output
79155290,dutch sentiment analysis robbertje outputs just positivenegative labels netural label is missing,python nlp bertlanguagemodel robertalanguagemodel,this model was trained only on negative and positive labels therefore it will try to categorize every input as positive or negative even if it is nonsensical or neutral what you can do is to find other models that was trained to include neutral label finetune this model on a dataset that includes neutral label empirically define a threshold based on the confidence outputs and interpret it as neutral the first choices are extensive in effort i would suggest you go with the third option for a quick workaround try feeding the model with a few neutral input and observe the range of confidence score in the output then use that threshold to classify as neutral heres a sample
78985137,alternative to devicemap auto in huggingface pretrained,machinelearning deeplearning nlp huggingfacetransformers,i found out that there are actually several methods in accelerate for this the first one is used to analyze your model and calculate the total amount of available memory that will be occupied by the model the second one is used to match your model with the devices so basically in your case you can use the following code ps this code still needs to be tested on finetuning
78943401,finetuning a pretrained model with quantization and amp scaler error attempting to unscale fp gradients,python pytorch nlp huggingfacetransformers finetuning,you cant finetune a fpuint model with amp amp uses fp parameters the params are autocast to fp for the forward pass but amp expects the master set of parameters to be fp you also shouldnt finetune a quantized model in the first place the quantization causes all sorts of numerical issues and instability during training what you are supposed to do is keep the quantized model static and train an adapter on top of the quantized model you can find more details here
78905614,why doesnt permuting positional encodings in bert affect the output as expected,python pytorch nlp huggingfacetransformers,the model inputs have token ids and position ids there are four scenarios to consider baseline correct order for tokens and positions permute position ids only permute token ids only permute position ids and token ids you are correct that scenario and should produce the same results however you are incorrect in assuming that permuting tokens or positions separately should give the same result consider given tokens positions permutation ex permute tokens but not positions permuted tokens standard positions ex permute positions but not tokens standard tokens permuted positions in ex the model is told that token occurs at position in ex the model is told that token occurs at position even though we used the same permutation the mapping of tokens to positions is different this results in different model outputs the reason you sometimes see these results line up is because you can through random chance sample a permutation that results in tokenposition embeddings lining up the same way or mostly the same way when permuting just one of them this is luck the average case produces different results it is simple to test this huggingface models take a positionids input parameter we can use this to test permutations of the input ids without messing with the weight matrices to test this well create input data permute as needed compute logits and compare logits when comparing logits we will permute or depermute as needed to compare on a token to token basis for example if token i in scenario is permuted to token j in scenario we want to compare logits i from scenario to logits j in scenario import torch from transformers import bertformaskedlm autotokenizer def getlogitsinputs with torchnograd outputs modelinputs logits outputslogits return logits def permuteinputsinputs permutation permuteidstrue permutepositionstrue outputs for kv in inputsitems if kpositionids and permutepositions outputsk vpermutation elif kpositionids and permuteids outputsk vpermutation else outputsk v return outputs load tokenizermodel tokenizer autotokenizerfrompretrainedbertbaseuncased model bertformaskedlmfrompretrainedbertbaseuncased modeleval remember to set model to eval create input ids and position ids inputs tokenizerinput text test sequence returntensorspt inputspositionids torchtensorlistrangeinputsinputidsshape create permutation tensor permutation torchrandperminputsinputidsshape compute scenario data data s scenario baseline inputs inputs permutedids false s scenario permute positions only inputs permuteinputsinputs permutation permuteidsfalse permutepositionstrue permutedids false s scenario permute token ids only inputs permuteinputsinputs permutation permuteidstrue permutepositionsfalse permutedids true s scenario permute tokens and positions inputs permuteinputsinputs permutation permutedids true compute logits for kv in dataitems vlogits getlogitsvinputs comparisons s s s s s s s s s s s s compare scenarios for sa sb in comparisons dataa datasa datab datasb logitsa dataalogits logitsb datablogits if dataapermutedids databpermutedids either both logits are permuted or both logits are unpermuted so we can compare directly val logitsa logitsbabsmean elif dataapermutedids and not databpermutedids if is permuted but is not we permute to make tokens line up val logitsa logitsbpermutationabsmean else otherwise we permute to make tokens line up val logitsapermutation logitsbabsmean printfcomparison sa sb valitemf the code should produce an output like run the code a bunch of times you will find that the s s comparison always has a small deviation this is because permuting tokens and positions together always produces the same result ignoring small deviations caused by numeric issues you will find the s s comparison generally has a large deviation but sometimes has a small deviation as discussed this is due to getting a lucky permutation where positions and ids mostly line up
78853409,nllb finetuning error missing dataprefix configuration englishgerman translation,python nlp machinetranslation finetuning fairseq,while i cant help you with the concrete error message you are getting my guess would be issues with structure of the provided json files my personal recommendation would be to finetune nllb in the transformers library specifically using the seqseqtrainer i did this before for multiple models including nllb check out this repository this way the finetuning and inference process for the nllb model is the same as any bilingual model you can find guides for those more easiely with the only exception that you load the tokenizer like so and generate translations like this
78685093,alternative to receptive field in transformers and what factors impact it,nlp huggingfacetransformers receptivefield,how do you understand whether one architecture is more optimal to use versus another having a set of text documents with unique properties for modern transformerbased language models lms there are some empirical scaling laws such as the chinchilla scaling laws wikipedia that essentially say that larger deeper models with more layers ie with more parameters tend to perform better so far most lms seem to roughly follow chinchilla scaling there is another kind of scaling which is closer to a receptive field that i talk about below do you guys have something similar in nlp kind of transformerbased lms can be thought to have a receptive field similar to cnn layers as the attention mechanism in the transformer operates on a predefined context window or context length which is the maximum number of tokens the layer can look at attend to at any given time similar to a cnn kernel however with the introduction of new positional encoding pe approaches such as rotary positional encoding rope and modified attention architectures like sliding window attention swa this is not strictly accurate scaling in terms of context length is of much interest but usually it is very difficult to scale transformers this way because of attention being a mathcalon on operation so usually researchers go towards deeper architectures with more parameters overparameterization that can allow the model to memorize as much of the large training corpus as it can overfitting so that it can perform reasonably well when finetuned for most downstream tasks that have at least some representative examples in the training corpus
78639577,understanding the results of transformers learn in context with gradient descent,machinelearning nlp largelanguagemodel transformermodel metalearning,what data are you using in your replication as far as i can tell this paper does not mention explicitly the parameters of the data used for the particular result you are trying to replicate indeed it tests a variety of alpha values for the distributions used in figure it is feasible for the loss to be low even after one step of gd if the alpha value is low if you find the same trends in relative behavior of gd and transformer layers i dont think its important to match the exact loss values
78612251,how do we addmodify the normalizer in a pretrained huggingface tokenizer,python nlp largelanguagemodel huggingfacetokenizers,this looks like a bug the v tokenizer has a normalizer by default which can be seen by looking at the mistralvtokenizerjson file after modifying the backendtokenizernormalizer object the modification are saved to the tokenizerjson file in the v version the mistralvtokenizerjson file has no value for the normalizer modifying the normalizer and saving the model does write the changes to the json file but it is not getting picked up on reload using autotokenizerfrompretrained i am not sure why but it is entirely possible the tokenizermodel file indicates no normalizer is the default and it simply does not load it however you can get the tokenizer to load correctly with the custom normalizer by instantiating the matched tokenizer class explicitly and passing in the tokenizermodel and tokenizerjson paths along with the values from the tokenizerconfigjson file in this case it is the llamatokenizerfast class from transformers import autotokenizer llamatokenizerfast addedtoken from tokenizersnormalizers import sequence replace prepend load modify and save tok autotokenizerfrompretrainedmistralaimistralbv tokbackendtokenizernormalizer sequence prepend replace replacefoo bar replace n toksavepretrainedmistralbvcustom read in config construct the addedtoken objects with openmistralbvcustomtokenizerconfigjson as fp config jsonloadfp configaddedtokensdecoder intk addedtokenv for k v in configpopaddedtokensdecoderitems load from saved files tokcustom llamatokenizerfast mistralbvcustomtokenizermodel mistralbvcustomtokenizerjson config teststr i foo youhello world print jointokcustombatchdecodetokcustomteststrinputids prints i bar you hello world if you dont want to specify the tokenizer class explicitly you can load the model the the autotokenizer and then load it again using from the resulting class it is a hacky workaround
78552651,how to fix error when loading custom finetuned model,pytorch nlp huggingfacetransformers largelanguagemodel peft,your directory contains only the files of the peftadapter and the files required to load the tokenizer but the base model weights are missing i assume you have used the savepretrained method from peft this method only saves the adapter weights and config i use a smaller model for my answer and a different task type from peft import loraconfig tasktype getpeftmodel peftmodel from transformers import automodelfortokenclassification from pathlib import path fergusollamabpclv in your case adapterpath bla metallamametallamab in your case basemodelid distilbertdistilbertbaseuncased peftconfig loraconfigtasktypetasktypetokencls targetmodulesalllinear automodelforcausallm in your case model automodelfortokenclassificationfrompretrainedbasemodelid model getpeftmodelmodel peftconfig modelsavepretrainedadapterpath printlistpathadapterpathiterdir sepn output to load your pretrained model successfully you need to load this basemodel weights as well and use the peft model class to load the adapter model automodelfortokenclassificationfrompretrainedbasemodelid model peftmodelfrompretrainedmodel adapterpath you can also merge the adapter weights back with mergeandunload and save it output this way you will be able to load the model without peft and only transformers as you tried in the example code of your question
78365608,finetuning bert with deterministic masking instead of random masking,nlp huggingfacetransformers bertlanguagemodel,probably you want domain specific adaption of bert so far i also could not find customized masking but i found this paper useful perl pivotbased domain adaptation for pretrained deep contextualized embedding models if any one has a way around to customized masking for bertformaskedlm please guide
78317989,is it possible to finetune a pretrained word embedding model like vecword,python nlp artificialintelligence wordvec wordembedding,as has been pointed out before there is no goto way for finetuning wordvec type models i would suggest training your own model from scratch combining your data with other available data from a similar domain wordvec models are fairly quick to train and this would probably give you the best results if you do not need static wordlevel embeddings i would recommend considering contextualized embeddings for example through the use of sentencetransformers or similar frameworks which has a wide selection of already pretrained models you can choose from you can finetune these types of models on your specific data rather easily and there are tons of resources online on how to do that for your use case you can embed all the documents into dense vector representations using the abovementioned library and then construct a searchable index over this semantic space in order to match queries all you have to do then is to embed the query using the same model and then retrieve the documents with the highest approximate inner product often referred to as a mips search an example library to take a look at would be faiss
