id,title,tags,answer
79159805,how can i share a complex spacy nlp model across multiple python processes to minimize memory usage,nlp multiprocessing pythonmultiprocessing spacy,i would strongly advise you not to treat nlp models like any other python object i would always prefer to load an nlp model using a microservice approach which is more aligned with mlsoftware engineering best practices by separating the model logic from the main application instead of loading the model in each process which can be memoryintensive the model is loaded just once in a dedicated service this setup allows the model to be used by multiple parts of the application without duplicating memory usage making it efficient modular and scalable not only is your concern about memory efficiency addressed but scalability and modularity are also improved an example of implementing such a microservice using fastapi docker could look like this to containerize above fastapi service
79081924,with spacy how can i get all lemmas from a string,python pandas nlp spacy lemmatization,there are many ways to speed up spacy processing the question which of them make sense for you depends mostly on the size of your input the most obvious one is not individually apply the model to every single row but rather use batch processing use nlppipe with an iterable of strings this means it is easier to not use apply disable components that you do not use for token level processing where you need the lemmas this would be parser the dependency parser and ner the named entity recognition component increase the batchsize objects to buffer in pipe the default is obviously this only makes sense to touch if you have the memory to increase it a lot increase the number of processors used using nprocess this will increase the time it takes to initially load the model but decrease the processing time in my experience this starts making sense at about k texts note that this also requires the code to be run in an if name main wrapper basic example with and advanced example for all four
78957322,break after first per sequence found with spacy,python nlp spacy,the issues is that docstartidxents is only the named entities in that slice of the doc thus you will never process habl for the first entry you will just go straight from garca to lpez to actually iterate over the tokens so that you see when the per sequence ends you have to leave out the ents part then you just wait until you see the first token with enttype per and start appending then break after one of your conditions is met i ended up refactoring your code a little as i debugged this but heres an edited version of your program that produces the desired outputs import spacy from spacymatcher import matcher nlp spacyloadescorenewslg texts el sr garca habl en la sesin tambin estuvo presente el senador lpez y la diputada martnez presidencia del c senador j jesus orozco alfaro er c jos guadarrama mrquez el contrabando del dia jos guadarrama mrquez el presidente pedro snchez y el ministro de asuntos exteriores jos manuel albares se reunieron con el senador pablo iglesias texts textlower for text in texts matcher matchernlpvocab patterns lower el lower c lower el lower sr lower el lower sra matcheraddlegislativetitles patterns function to find a sequence of per entities allowing one misc def findpersequencedoc spacytokensdoc startidx int perentities misccount perstarted false for token in docstartidx if tokenenttype per perentitiesappendtokentext perstarted true elif tokenenttype misc and misccount and perstarted misccount perentitiesappendtokentext elif perstarted break should stop if any other entity or second misc is encountered return perentities for text in texts doc nlptext find matches matches matcherdoc extract the first match and its position titleend matches if matches else none none none names findpersequencedoc titleend if titleend else output the detected names for each text printfdetected names in text names
78865486,spacy matcher with optional suffix in pattern reports multiple matches on same text,nlp spacy matcher,i will say that the behavior youre observing with the spacy matcher is expected and it is not a bug when you use the text op pattern the op operator means that the colon is optional so the matcher will generate both the shorter and the longer match as youve seen explanation pattern text mylabel text op text mylabel some value so for this pattern spacy will try to match mylabel alone because the colon is optional mylabel because the colon can be included therefore you will get two matches mylabel and mylabel now to answer your questions is this the intended behavior or is it a bug this is intended behavior the op operator allows the colon to be optionally matched leading to multiple matches how should i determine that the second match really is just a subset of the first match to determine if one match is a subset of another you can compare the start and end indices of the matches the longer match will have the same start index but a different end index now i wrote a code below even using spacy version see details below now example in code import spacy from spacymatcher import matcher nlp spacyloadencorewebsm doc nlpmylabel some value matcher matchernlpvocab pattern text mylabel text op matcheraddr pattern matches matcherdoc for matchid start end in matches span docstartend printfmatch spantext start start end end now we determine if one match is a subset of another matchessortkeylambda x x x sort by start index then by end index descending filteredmatches lastend for matchid start end in matches if start lastend this is for avoiding adding subsets filteredmatchesappendmatchid start end lastend end for matchid start end in filteredmatches span docstartend printffiltered match spantext now this code will filter out the shorter match and your output will be now will the shorter match always be reported before the longer match i dont think the matches are not guaranteed to be reported in a specific order so to handle this you can sort the matches by their start and end indices as shown in the code example abovenow after sorting you can now filter out matches that are subsets of longer matches another alternative solution if you want to ensure that only the longest match is returned you can change the way you define the pattern pattern text mylabel text op greedy longest note that the greedy flag doesnt change the behavior of matching itself but rather can influence how overlaps are handled in certain custom settings now back to the summary of what i explained the behavior youre seeing is by design due to the optional op operator in addition you can filter out the shorter match by comparing start and end indices of the matches furthermore sorting the matches by start and end indices allows you to keep only the longest nonoverlapping matches
78631769,problems with named entity recognition in spacy using german dedepnewstrf pipeline,python nlp spacy,problem is because this model doesnt have function to recognize entities see documentation for dedepnewstrf it has components transformer tagger morphologizer parser lemmatizer attributeruler but no ner for entityrecognizer so it may need to use one of other models decorenewssm decorenewsmd decorenewslg
78538749,not able to install spacy version,python parsing pip nlp spacy,try or
78344850,how to tag words that not include one specific symbol in spacy,python nlp patternmatching spacy,try this lower regex word
78314842,r tidymodels textrecipes tokenizing with spacyr how to remove punctuations from produced list of tokens,r nlp spacy tidymodels,you want to use the stepposfilter to filter the output of spacy by pos it is a little annoying because you have to specify the types to keep full list of tags found here librarytidyverse librarytidymodels librarytextrecipes libraryspacyr text it was a day tuesday it wasnt thursday df tibbletext spacyrspacyinitializeentity false pos cadj adp adv aux conj cconj det intj noun num part pron propn sconj sym verb x eol space lexiconfeaturestokenizedlemmatised recipe text data df head steptokenizetext engine spacyr stepposfiltertext keeptags pos steplemmatext prep bakenewdata null lexiconfeaturestokenizedlemmatised pulltext textrecipesgettokens it be a day tuesday it be not thursday
78285241,extracting dates from a sentence in spacy,python regex nlp spacy namedentityrecognition,the issue is that to is considered part of the date so when you do for ent in docents your loop only has one iteration as june to january is considered one entity as you dont want this behaviour you can amend your function to split on to def extractdateswithyeartext doc nlptext dateswithyear for ent in docents if entlabel date for enttxt in enttextsplitto dateswithyearappendenttxtstrip return dateswithyear this will correctly handle dates like these as well as single dates and strings with multiple dates txt the dates are from june to january inclusive and oddly also january and exclude july until july extractdateswithyeartxt output june january january july july
78266192,python spacy pattern how to tag a word based on another word,python nlp spacy,you havent said which model youre using so ill use enwebcoresm import spacy from spacymatcher import matcher nlp spacyloadencorewebsm matcher matchernlpvocab doc nlpthere were kiloliters of juice available the first thing is that none of these have an enttype of unit for tok in doc printftok enttype tokenttype lemma toklemma there enttype lemma there were enttype lemma be enttype cardinal lemma kiloliters enttype lemma kiloliter of enttype lemma of juice enttype lemma juice available enttype lemma available also as you can see the lemma of kiloliters is kiloliter this is a bit annoying as you dont want to have to specify milliliters liters etc separately one alternative is to look for a cardinal token which also includes words eg two liters followed a regex doc nlp there were kiloliters of juice available i could not drink more than two liters a day i would only give a child milliliters pattern enttype cardinal text regex liters matcheraddunit pattern matches matcherdoc asspanstrue for span in matches printspantext output
