id,title,tags,answer
79459888,opennlp postaggerme and chunkerme synergy,nlp opennlp,q yes the chosen tag set ud penn custom has an impact conversion is not possible in a bidirectional manner penn ud should work well ud penn is not a good idea as it a lossy conversion ud tag set are less detailed when compared to the classic penn tag set using a custom language specific tagset can work but it is a matter of mapping fromto ud correctly this might work for some tag sets and languages for others it might be too complicated lossy q no there isnt the opennlp project takes code donations for upcoming releases if you want to provide such a mappingtranslation for pt lang q this needs detailsdiscussion on the apache opennlp user andor dev mailing lists alternatively feel free to open a jira issue if you can drill the topic down to a clear idea or proposed code addition
79328514,how to get custom column in the models forward function when training with huggingface trainer,pytorch nlp largelanguagemodel huggingfacetrainer,you need to modify the data collator to pass interactids and candidateids to your model as trainer ignores extra columns by default to modify the data collator class customdatacollatordatacollatorwithpadding def callself features batch supercallfeatures batchinteractids torchtensorfinteractids for f in features batchcandidateids torchtensorfcandidateids for f in features return batch then pass it to trainer trainer trainer modelllmwithcustomlayerfrompretrainedyourllamamodel argstrainingargs traindatasettraindataset evaldatasetevaldataset tokenizertokenizer datacollatorcustomdatacollatortokenizer now your forward method will receive interactids and candidateids hope it will work
79234004,llamabinstruct generate inconsistent output,python nlp huggingfacetransformers largelanguagemodel,the model inconsistent output can be due to two main factors temperature setting temperature to zero give more inconsistent result you can refer opeani discussion page for detail so the best option is to set temperature to very low values such as instead of zero dosample you already set it false and it should remain that way only
79111733,how to derive attributeslabels from short plain text descriptions ner llm,nlp artificialintelligence largelanguagemodel namedentityrecognition,llm would work nicely for this iv done similar tasks before and it worked nicely with minimal training just keep in mind that any of the statistical methods nlp llm ner will never be accurate but for practical purposes i find llms to be more accurate then a custom soup of regular expressions for you task i would use a framework like langchain and the following prompt note you might need to work on your prompt a bit this just an example when run with a model it will create an xml output which would be trivial to parse you can modify the prompt to create different type of outputs but personally i find xml working very well for me keep in mind that llms are not cheap to run but for this tasks given ambiguousness of the domain it is most likely the best choice for this particular task it would be of a penny per label using openai service you might find a cheaper model provider however when working with llm it is very important to ensure accuracy first then optimize for costs the whole thing will probably take hours to build for the intermediate llm developer if you are learning it may vary but this is a perfect project to learn about llms
79005985,seqseq trainertrain keeps giving indexing error,python nlp huggingfacetransformers huggingfacetrainer,size indicates that the dataset your trainer gets when the finetuning starts is empty looking at this and this thread suggests adding removeunusedcolumns false to your trainingargs might resolve the issue so you could give that a try
78949607,trainer huggingface runtimeerror cannot pin torchcudafloattensor only dense cpu tensors can be pinned,nlp huggingfacetransformers,since pinning memory is only available on cpu and not gpu when running on gpu on colab you can just disable it by setting dataloaderpinmemory to false for trainingarguments trainingargs trainingarguments outputdirloracroissantllm dataloaderpinmemoryfalse perdevicetrainbatchsize numtrainepochs savesteps savetotallimit loggingdirlogs loggingsteps
78912171,how to visualize crossattention matrices in marianmtmodel during output generation,python pytorch nlp huggingfacetransformers,huggingface has built in methods to return attention weights translatedtokens modelgenerateinputs outputattentionstrue returndictingeneratetrue printtranslatedtokenskeys odictkeyssequences encoderattentions decoderattentions crossattentions pastkeyvalues with returndictingeneratetrue modelgenerate returns a dictlike object with outputattentionstrue the output dict will contain all attention weights for this model it will include encoder attentions decoder attentions and cross attentions
78895710,ner versus llm to extract name gender role and company from text,nlp largelanguagemodel namedentityrecognition,using generative large language models like llama is very inefficient for a task like ner as this answer suggests you can use traditional techniques like spacy and achieve very good results however the problem with nonllm methods is that they are not flexible youre limited to a set of predefined tags if you want a flexible powerful and yet efficient solution use gliner it uses bert at its core for named entity recognition with gliner you can easily perform ner on your local hardware with whatever entities you want using less than m parameters installation pip install gliner example of gliner usage from gliner import gliner initialize gliner with the base model model glinerfrompretrainedurchadeglinermediumv text on july on the th anniversary of bleriots crossing of the english channel the type neneviking flew heathrow to paris villacoublay in the morning carrying letters to bleriots widow and son secretary of the fai who met it at the airport labels person company location airplane entities modelpredictentitiestext labels threshold for entity in entities printentitytext entitylabel result there are various models with diffrent number of parameters mm choose the one that best suits your needs
78778988,do i need to use named entity recognition ner in tokenization,python pythonx nlp spacy namedentityrecognition,tokenization typically is the splitting of a sentence into words or even subwords i am not sure what you later plan to do with the data but it is a convention in nlp to stick to either the document level sentence level or wordtoken level having some mix of token and ngram level like apple pay required an iphone to use it in my opinion will not help you in most later use cases if you later train a classifier assuming youre talking about finetuning a transformer based language model on a token classification task would then use something like the iob format to handle ngrams eg like so token label apple b pay i required o an o iphone b to o use o it o o of course this depends on your application and directly merging to ngrams might work well for you if you have some application where you are searching for frequent ngrams you could use collocation metrics to extract those ngrams eg using nltks collocationfinder or as you mentioned use spacy either for noun chunk extraction or named entity recognition for the latter one you could access the token level enttype and entiob attributes to iterate over the tokens in the processed docs once and then merge these ngrams together based on their iobtags
78631769,problems with named entity recognition in spacy using german dedepnewstrf pipeline,python nlp spacy,problem is because this model doesnt have function to recognize entities see documentation for dedepnewstrf it has components transformer tagger morphologizer parser lemmatizer attributeruler but no ner for entityrecognizer so it may need to use one of other models decorenewssm decorenewsmd decorenewslg
